83"Yah Yah (feat. Royce Da 5'9""   Black Thought    Q-Tip & Denaun)"  Eminem
96Shallow  "Lady Gaga"   8223523  https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
108"Mean It"  Lauv   7599648  https://open.spotify.com/track/2uiOyiRxtNix52dpeaDQPM
197"I Like Me Better"  Lauv   5227444  https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
17"Someone You Loved"  "Lewis Capaldi"   19523711  https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
35"Before You Go"  "Lewis Capaldi"   13993666  https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
122Bruises  "Lewis Capaldi"   6819066  https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
123Woah  "Lil Baby"   6814310  https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
126"Sum 2 Prove"  "Lil Baby"   6772472  https://open.spotify.com/track/2u3EyuCqqV31woqGvO9LBz
104"Old Town Road - Remix"  "Lil Nas X"   7910494  https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
106Ransom  "Lil Tecca"   7877635  https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
58"Futsal Shuffle 2020"  "Lil Uzi Vert"   10699707  https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
141"Good as Hell (feat. Ariana Grande) - Remix"  Lizzo   6417238  https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd
162"Truth Hurts"  Lizzo   5828957  https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
109Aventura  Lunay   7519215  https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
151"Soltera - Remix"  Lunay   6064364  https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
38"Blue World"  "Mac Miller"   12762791  https://open.spotify.com/track/2hwOoMtWPtTSSn6WHV7Vp5
62"I Can See"  "Mac Miller"   10086930  https://open.spotify.com/track/3R8CyhJfVjvgIROd5RSGhQ
69"Hand Me Downs"  "Mac Miller"   9521654  https://open.spotify.com/track/2Yv2mHzr5AQavVdwQjEokV
49Circles  "Mac Miller"   11781966  https://open.spotify.com/track/4jXl6VtkFFKIt3ycUQc5LT
148"Once A Day"  "Mac Miller"   6159873  https://open.spotify.com/track/26G5nmIx7Yvq79bIIluyZV
98Everybody  "Mac Miller"   8172098  https://open.spotify.com/track/1OuN92HcVG6NVpWbeESNB3
118Surf  "Mac Miller"   6960699  https://open.spotify.com/track/1kwnxJNVl7cwcU98RvMBaR
71Complicated  "Mac Miller"   9443725  https://open.spotify.com/track/3WfSNAoj2D8C9noPSGZZFM
157Hands  "Mac Miller"   5934464  https://open.spotify.com/track/6CrnvqCxBKVWahSiQwOesM
14"Good News"  "Mac Miller"   21727425  https://open.spotify.com/track/1DWZUa5Mzf2BwzpHtgbHPY
139"That's On Me"  "Mac Miller"   6462701  https://open.spotify.com/track/0udOCZp7yk0Ml92C0k8H8D
91Woods  "Mac Miller"   8329349  https://open.spotify.com/track/3Qa944OTMZkg8DHjET8JQv
168Blanche  Maes   5656775  https://open.spotify.com/track/5GyyPRvEwdI4wJSUbzxHQv
11Memories  "Maroon 5"   24516744  https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
170"Girls Like You (feat. Cardi B)"  "Maroon 5"   5623552  https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
111Happier  Marshmello   7358042  https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
132"Break My Stride"  "Matthew Wilder"   6596199  https://open.spotify.com/track/1mCsF9Tw4AkIZOjvZbZZdT
42"Lose Control"  MEDUZA   12332126  https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
